id,name,major,grade,department, undergraduate/junior_college
2017010101,17级安全工程1班,2017级安全工程,2017,土木工程学院,本科
2017010102,17级安全工程2班(专升本),2017级安全工程,2017,土木工程学院,本科
2017010103,17级道路桥梁与渡河工程1班,2017级道路桥梁与渡河工程,2017,土木工程学院,本科
2017010104,17级动画1班,2017级动画,2017,美术学院,本科
2017010105,17级动画2班,2017级动画,2017,美术学院,本科
2017010106,17级服装与服饰设计,2017级服装与服饰设计,2017,美术学院,本科
2017010107,17级给排水科学与工程1班,2017级给排水科学与工程,2017,环境与化学工程学院,本科
2017010108,17级工商管理1班,2017级工商管理,2017,工商管理学院,本科
2017010109,17级工商管理2班,2017级工商管理,2017,工商管理学院,本科
2017010110,17级工商管理3班(专升本),2017级工商管理,2017,工商管理学院,本科
2017010111,17级广告学1班,2017级广告学,2017,传媒学院,本科
2017010112,17级广告学2班,2017级广告学,2017,传媒学院,本科
2017010113,17级国际经济与贸易1班,2017级国际经济与贸易,2017,财经学院,本科
2017010114,17级国际经济与贸易2班,2017级国际经济与贸易,2017,财经学院,本科
2017010115,17级过程装备与控制工程,2017级过程装备及控制工程,2017,环境与化学工程学院,本科
2017010116,17级化学工程与工艺1班,2017级化学工程与工艺,2017,环境与化学工程学院,本科
2017010117,17级化学工程与工艺2班,2017级化学工程与工艺,2017,环境与化学工程学院,本科
2017010118,17级环境科学1班,2017级环境科学,2017,环境与化学工程学院,本科
2017010119,17级环境科学2班,2017级环境科学,2017,环境与化学工程学院,本科
2017010120,17级环境设计1班,2017级环境设计,2017,环境与化学工程学院,本科
2017010121,17级环境设计2班,2017级环境设计,2017,环境与化学工程学院,本科
2017010122,17级环境设计3班,2017级环境设计,2017,环境与化学工程学院,本科
2017010123,17级环境设计4班,2017级环境设计,2017,环境与化学工程学院,本科
2017010124,17级会计学1班,2017级会计学,2017,财经学院,本科
2017010125,17级会计学2班,2017级会计学,2017,财经学院,本科
2017010126,17级会计学3班,2017级会计学,2017,财经学院,本科
2017010127,17级会计学4班(专升本),2017级会计学,2017,财经学院,本科
2017010128,17级机械电子工程1班,2017级机械电子工程,2017,机械工程学院,本科
2017010129,17级机械电子工程2班,2017级机械电子工程,2017,机械工程学院,本科
2017010130,17级机械设计制造及其自动化1班,2017级机械设计制造及其自动化,2017,机械工程学院,本科
