id,course_id,teacher_id,class_id,department,classroom_id,school_year,semester,week,jieci,biweekly,starting_and_ending_weeks,num_of_class
(2020-2021-1)-0706144032-0001986-1,0706144032,0002370,2018010226,,0213107,2020-2021,1,星期一,"第1,2节",,1—12,46
(2020-2021-1)-0303241161-0000825-1,0303241161,0000825,2018010110,,0211508,2020-2021,1,星期一,"第1,2节",,13—16,31
(2020-2021-1)-0303241161-0001150-1,0303241161,0001150,2018010111,,0211513,2020-2021,1,星期一,"第1,2节",,13—16,30
(2020-2021-1)-0306243042-0001149-1,0306243042,0001149,2018010138,,0211506,2020-2021,1,星期一,"第1,2节",,10—11,26
(2020-2021-1)-0306243042-0002373-1,0306243042,0002373,2018010137,,0211502,2020-2021,1,星期一,"第1,2节",,10—11,28
(2020-2021-1)-2101119971-0000383-1,2101119971,0000383,2020010123,,0210512,2020-2021,1,星期一,"第1,2节",,1—16,4
(2020-2021-1)-0706143122-0002351-1,0706143122,0002019,2018010182,,0209426,2020-2021,1,星期一,"第1,2节",,1—8,52
(2020-2021-1)-0706143122-0002351-2,0706143122,0002351,2018010182,,0209426,2020-2021,1,星期一,"第1,2节",,1—8,52
(2020-2021-1)-0603144062-0000226-1,0603144062,0000226,2018010124,,0201511,2020-2021,1,星期一,"第1,2节",,1—6,32
(2020-2021-1)-0303246331-0000159-1,0303246331,0000159,2018010164,,0212410,2020-2021,1,星期一,"第1,2节",,10—15,9
(2020-2021-1)-0303246271-0000982-1,0303246271,0000982,2018010164,,0212410,2020-2021,1,星期一,"第1,2节",,1—4,9
(2020-2021-1)-0303245642-0000159-1,0303245642,0000159,2018010164,,0212410,2020-2021,1,星期一,"第1,2节",,6—9,9
(2020-2021-1)-0306243052-0001328-1,0306243052,0001328,2018010140,,0204308,2020-2021,1,星期一,"第1,2节",,10—11,23
(2020-2021-1)-0306243052-0001410-1,0306243052,0001410,2018010139,,0202209,2020-2021,1,星期一,"第1,2节",,10—11,25
(2020-2021-1)-1603142111-0001326-1,1603142111,0001326,2019010198,,0201516,2020-2021,1,星期一,"第1,2节",,1—16,49
(2020-2021-1)-0306242121-0000147-1,0306242121,0000147,2018010194,,0201214,2020-2021,1,星期一,"第1,2节",,8—11,27
(2020-2021-1)-0306242121-0000154-1,0306242121,0000154,2018010195,,0201215,2020-2021,1,星期一,"第1,2节",,8—11,27
(2020-2021-1)-0306242121-0000153-1,0306242121,0000153,2018010193,,0201203,2020-2021,1,星期一,"第1,2节",,8—11,27
(2020-2021-1)-1505006923-0000940-1,1505006923,0000940,2017010147,,0210505,2020-2021,1,星期一,"第1,2节",,1—2,36
(2020-2021-1)-1505006923-0000614-1,1505006923,0000614,2017010148,,0210507,2020-2021,1,星期一,"第1,2节",,1—2,38
(2020-2021-1)-1406140102-0000770-1,1406140102,0000770,2018010122,,0208414,2020-2021,1,星期一,"第1,2节",单,1—16,87
(2020-2021-1)-1406140102-0000770-2,1406140102,0000770,2018010123,,0208414,2020-2021,1,星期一,"第1,2节",单,1—16,87
(2020-2021-1)-1502149091-0001429-1,1502149091,0001429,2019010176,,0208407,2020-2021,1,星期一,"第1,2节",,1—16,43
(2020-2021-1)-1505206010-0000614-1,1505206010,0000614,2017010147,,0210505,2020-2021,1,星期一,"第1,2节",单,3—3,37
(2020-2021-1)-1505206010-0001039-1,1505206010,0001039,2017010148,,0210508,2020-2021,1,星期一,"第1,2节",单,3—3,38
(2020-2021-1)-1505206010-0000614-2,1505206010,0000614,2017010147,,0210505,2020-2021,1,星期一,"第1,2节",单,5—6,37
(2020-2021-1)-1505206010-0001039-2,1505206010,0001039,2017010148,,0210508,2020-2021,1,星期一,"第1,2节",单,5—6,38
(2020-2021-1)-1505206010-0000614-3,1505206010,0000614,2017010147,,0210505,2020-2021,1,星期一,"第1,2节",单,3—6,37
(2020-2021-1)-1505206010-0001039-3,1505206010,0001039,2017010148,,0210508,2020-2021,1,星期一,"第1,2节",单,3—6,38
(2020-2021-1)-0303244141-0001409-1,0303244141,0001409,2018010114,,0208420,2020-2021,1,星期一,"第1,2节",,10—13,29
(2020-2021-1)-1602140021-0000798-1,1602140021,0000798,2018010120,,0202310,2020-2021,1,星期一,"第1,2节",,1—16,37
(2020-2021-1)-0706146071-0001350-1,0706146071,0001350,2019010202,,0201409,2020-2021,1,星期一,"第1,2节",单,1—16,48
(2020-2021-1)-0706146071-0001350-2,0706146071,0002298,2019010202,,0201409,2020-2021,1,星期一,"第1,2节",单,1—16,48
(2020-2021-1)-1901140021-0001251-1,1901140021,0001251,2019010119,,0208501,2020-2021,1,星期一,"第1,2节",,1—8,93
(2020-2021-1)-1901140021-0001251-2,1901140021,0001251,2019010120,,0208501,2020-2021,1,星期一,"第1,2节",,1—8,93
(2020-2021-1)-1901140021-0001251-3,1901140021,0001251,2019010226,,0208501,2020-2021,1,星期一,"第1,2节",,1—8,93
(2020-2021-1)-1901140021-0001251-4,1901140021,0001251,2019010227,,0208501,2020-2021,1,星期一,"第1,2节",,1—8,93
(2020-2021-1)-1901140021-0002205-1,1901140021,0002205,2019010193,,0202203,2020-2021,1,星期一,"第1,2节",,1—8,132
(2020-2021-1)-1901140021-0002205-2,1901140021,0002205,2019010212,,0202203,2020-2021,1,星期一,"第1,2节",,1—8,132
(2020-2021-1)-1901140021-0002205-3,1901140021,0002205,2019010213,,0202203,2020-2021,1,星期一,"第1,2节",,1—8,132
(2020-2021-1)-1901140021-0002008-1,1901140021,0002008,2019010217,,0208405,2020-2021,1,星期一,"第1,2节",,1—8,101
(2020-2021-1)-1901140021-0002008-2,1901140021,0002008,2019010218,,0208405,2020-2021,1,星期一,"第1,2节",,1—8,101
(2020-2021-1)-1901140021-0002008-3,1901140021,0002008,2019010219,,0208405,2020-2021,1,星期一,"第1,2节",,1—8,101
(2020-2021-1)-1901140021-0002196-1,1901140021,0002196,2019010145,,0208405,2020-2021,1,星期一,"第1,2节",,9—16,107
(2020-2021-1)-1901140021-0002196-2,1901140021,0002196,2019010146,,0208405,2020-2021,1,星期一,"第1,2节",,9—16,107
(2020-2021-1)-1901140021-0001295-1,1901140021,0001295,2019010121,,0201209,2020-2021,1,星期一,"第1,2节",,9—16,90
(2020-2021-1)-1901140021-0001295-2,1901140021,0001295,2019010122,,0201209,2020-2021,1,星期一,"第1,2节",,9—16,90
(2020-2021-1)-1901140021-0001957-1,1901140021,0001957,2019010181,,0202203,2020-2021,1,星期一,"第1,2节",,9—16,113
(2020-2021-1)-1901140021-0001957-2,1901140021,0001957,2019010184,,0202203,2020-2021,1,星期一,"第1,2节",,9—16,113
